,Article DOI
0,10.1016/j.dyepig.2012.02.011
1,10.1039/c0ee00218f
2,10.1039/c0ee00218f
3,10.1039/c0ee00218f
4,10.1039/c0ee00218f
5,10.1039/c0ee00218f
6,10.1039/c0ee00218f
7,10.1039/c0ee00218f
8,10.1039/c0ee00218f
9,10.1039/c0ee00218f
10,10.1016/j.jphotochem.2014.06.001
11,10.1016/j.jphotochem.2014.06.001
12,10.1016/j.jphotochem.2014.06.001
13,10.1016/j.jphotochem.2014.06.001
14,10.1016/j.jphotochem.2014.06.001
15,10.1016/j.jphotochem.2014.06.001
16,10.1021/jp026963x
17,10.1021/jp026963x
18,10.1021/jp026963x
19,10.1021/jp026963x
20,10.1021/jp026963x
21,10.1021/jp026963x
22,10.1021/jp026963x
23,10.1021/jp026963x
24,10.1021/jp026963x
25,10.1021/jp026963x
26,10.1021/jp026963x
27,10.1021/jp0518557
28,10.1021/jp0518557
29,10.1021/jp0518557
30,10.1016/j.orgel.2014.04.016
31,10.1021/jp0518557
32,10.1021/la0357615
33,10.1021/la0357615
34,10.1021/la0357615
35,10.1021/la0357615
36,10.1021/la0357615
37,10.1021/la0357615
38,10.1021/la0357615
39,10.1021/la0357615
40,10.1021/la0357615
41,10.1021/la0357615
42,10.1021/la0357615
43,10.1002/chem.201301658
44,10.1002/chem.201301658
45,10.1002/chem.201301658
46,10.1002/chem.201301658
47,10.1002/chem.201301658
48,10.1002/chem.201301658
49,10.1039/c5pp00216h
50,10.1039/c5pp00216h
51,10.1039/c5pp00216h
52,10.1039/c6ra17930d
53,10.1039/c6ra17930d
54,10.1039/c6ra17930d
55,10.1039/c6ra17930d
56,10.1039/c6ra17930d
57,10.1002/chem.201301658
58,10.1016/j.dyepig.2012.02.011
59,10.1016/j.dyepig.2012.02.015
60,10.1016/j.dyepig.2012.02.015
61,10.1016/j.dyepig.2012.02.015
62,10.1016/j.dyepig.2012.02.015
63,10.1016/j.dyepig.2011.01.009
64,10.1016/j.dyepig.2011.01.009
65,10.1016/j.dyepig.2011.01.009
66,10.1016/j.dyepig.2011.01.009
67,10.1002/adma.200601020
68,10.1002/adma.200601020
69,10.1021/jp806927b
70,10.1021/jp806927b
71,10.1021/jp806927b
72,10.1021/jp806927b
73,10.1021/jp806927b
74,10.1021/jp806927b
75,10.1021/jp806927b
76,10.1021/jp806927b
77,10.1021/jp044851v
78,10.1021/jp044851v
79,10.1021/jp044851v
80,10.1021/jp044851v
81,10.1021/jp044851v
82,10.1021/jp044851v
83,10.1021/jp044851v
84,10.1021/jp044851v
85,10.1021/jp044851v
86,10.1021/jp044851v
87,10.1021/jp067872t
88,10.1021/jp067872t
89,10.1021/jp067872t
90,10.1021/ol2023517
91,10.1021/jp044851v
92,10.1021/jp067872t
93,10.1021/jp067872t
94,10.1016/s0927-0248(02)00460-9
95,10.1016/s0927-0248(02)00460-9
96,10.1016/s0927-0248(02)00460-9
97,10.1016/s0927-0248(02)00460-9
98,10.1016/s0927-0248(02)00460-9
99,10.1016/s0927-0248(02)00460-9
100,10.1039/b300694h
101,10.1039/b300694h
102,10.1016/j.solener.2008.10.002
103,10.1016/j.solener.2008.10.002
104,10.1016/j.solener.2008.10.002
105,10.1016/j.solener.2008.10.002
106,10.1016/j.solener.2008.10.002
107,10.1016/j.solener.2008.10.002
108,10.1039/c2jm32333h
109,10.1039/c2jm32333h
110,10.1039/c2jm32333h
111,10.1039/c2jm32333h
112,10.1039/c2jm32333h
113,10.1039/c2jm32333h
114,10.1016/j.jpowsour.2014.09.163
115,10.1016/j.jpowsour.2014.09.163
116,10.1021/jp5023696
117,10.1021/jp5023696
118,10.1002/adfm.200400272
119,10.1002/adfm.200400272
120,10.1039/c5ra03530a
121,10.1016/j.jpowsour.2014.09.163
122,10.1002/adfm.200400272
123,10.1002/adfm.200400272
124,10.1021/cm302250y
125,10.1016/j.jpowsour.2017.01.115
126,10.1016/j.jpowsour.2017.01.115
127,10.1016/j.jpowsour.2017.01.115
128,10.1016/j.jpowsour.2017.01.115
129,10.1016/j.jpowsour.2017.01.115
130,10.1016/j.jpowsour.2017.01.115
131,10.1039/c4ra08271k
132,10.1016/j.orgel.2017.06.013
133,10.1016/j.orgel.2017.06.013
134,10.1016/j.orgel.2017.06.013
135,10.1016/j.orgel.2017.06.013
136,10.1039/c2cc36873k
137,10.1039/c2cc36873k
138,10.1039/c2cc36873k
139,10.1039/c2cc36873k
140,10.1039/c2cc36873k
141,10.1039/c6dt02905a
142,10.1007/s11164-017-2962-z
143,10.1007/s11164-017-2962-z
144,10.1007/s11164-017-2962-z
145,10.1007/s11164-017-2962-z
146,10.1007/s11164-017-2962-z
147,10.1007/s11164-017-2962-z
148,10.1021/jp1055842
149,10.1016/j.orgel.2014.04.016
150,10.1021/jp1055842
151,10.1039/c5ra02720a
152,10.1039/c5ra02720a
153,10.1039/c5ra02720a
154,10.1039/c5ra02720a
155,10.1039/c5ra02720a
156,10.1039/c5ra02720a
157,10.1039/c5ra02720a
158,10.1039/c5ra02720a
159,10.1039/c5ra02720a
160,10.1039/c5ra02720a
161,10.1039/c5ra02720a
162,10.1039/c5ra02720a
163,10.1016/j.tet.2006.12.082
164,10.1016/j.tet.2006.12.082
165,10.1016/j.tet.2006.12.082
166,10.1016/j.tet.2006.12.082
167,10.1039/b905831a
168,10.1039/b905831a
169,10.1039/b905831a
170,10.1039/b905831a
171,10.1039/b905831a
172,10.1039/b905831a
173,10.1039/b905831a
174,10.1039/b905831a
175,10.1039/b905831a
176,10.1016/j.tet.2006.12.082
177,10.1016/j.tet.2006.12.082
178,10.1021/ef900207y
179,10.1016/j.tet.2014.03.086
180,10.1016/j.dyepig.2011.12.009
181,10.1016/j.dyepig.2014.07.031
182,10.1016/j.orgel.2015.01.005
183,10.1039/c4ra01858c
184,10.1016/j.orgel.2014.04.016
185,10.1016/j.orgel.2014.04.016
186,10.1016/j.dyepig.2011.08.016
187,10.1016/j.dyepig.2011.08.016
188,10.1016/j.dyepig.2011.08.016
189,10.1016/j.dyepig.2013.07.002
190,10.1016/j.dyepig.2013.07.002
191,10.1016/j.dyepig.2013.07.002
192,10.1016/j.dyepig.2013.07.002
193,10.1016/j.dyepig.2013.07.002
194,10.1016/j.dyepig.2013.07.002
195,10.1016/j.jpowsour.2014.08.030
196,10.1039/c2jm35556f
197,10.1039/c2jm35556f
198,10.1039/c2jm35556f
199,10.1039/c2jm35556f
200,10.1039/c2jm35556f
201,10.1039/c2jm35556f
202,10.1039/c2jm35556f
203,10.1039/c2jm35556f
204,10.1016/j.synthmet.2015.02.016
205,10.1021/ef900207y
206,10.1021/ef900207y
207,10.1021/ef900207y
208,10.1021/jo202608w
209,10.1021/jo202608w
210,10.1021/jo202608w
211,10.1021/jo202608w
212,10.1021/jo202608w
213,10.1021/jo202608w
214,10.1021/jo202608w
215,10.1021/jo202608w
216,10.1016/j.dyepig.2014.07.031
217,10.1016/j.dyepig.2012.12.007
218,10.1016/j.dyepig.2012.12.007
219,10.1016/j.dyepig.2012.12.007
220,10.1016/j.dyepig.2012.12.007
221,10.1016/j.dyepig.2014.05.015
222,10.1021/jo201057b
223,10.1021/jo201057b
224,10.1016/j.dyepig.2014.05.015
225,10.1016/j.dyepig.2014.05.015
226,10.1016/j.dyepig.2014.05.015
227,10.1016/j.dyepig.2013.10.032
228,10.1016/j.dyepig.2013.10.032
229,10.1016/j.synthmet.2015.02.016
230,10.1007/s10854-016-5146-5
231,10.1016/j.matlet.2010.10.072
232,10.1002/pip.980
233,10.1002/pip.980
234,10.1002/pip.980
235,10.1007/s10854-016-5146-5
236,10.1039/c5ra15894j
237,10.1039/c5ra15894j
238,10.1021/jp311378b
239,10.1021/jp311378b
240,10.1021/jp311378b
241,10.1021/jp311378b
242,10.1021/jp311378b
243,10.1016/j.dyepig.2014.07.031
244,10.1016/j.dyepig.2014.07.031
245,10.1016/j.dyepig.2014.07.031
246,10.1016/j.dyepig.2014.07.031
247,10.1016/j.dyepig.2014.07.031
248,10.1016/j.dyepig.2014.07.031
249,10.1021/ol2000167
250,10.1021/ol2000167
251,10.1016/j.jpowsour.2014.08.030
252,10.1016/j.jpowsour.2014.08.030
253,10.1021/jp400011w
254,10.1021/am403210v
255,10.1021/am403210v
256,10.1016/j.dyepig.2013.10.005
257,10.1016/j.dyepig.2011.12.009
258,10.1039/c3cp52314d
259,10.1039/c3cp52314d
260,10.1039/c3cp52314d
261,10.1039/c3cp52314d
262,10.1039/c3cp52314d
263,10.1039/c3cp52314d
264,10.1039/c3cp52314d
265,10.1039/c3cp52314d
266,10.1002/asia.201301228
267,10.1002/asia.201301228
268,10.1002/asia.201301228
269,10.1002/asia.201301228
270,10.1002/asia.201301228
271,10.1002/asia.201301228
272,10.1002/asia.201301228
273,10.1002/asia.201301228
274,10.1016/j.orgel.2013.07.008
275,10.1016/j.orgel.2013.07.008
276,10.1016/j.dyepig.2013.05.032
277,10.1016/j.dyepig.2013.05.032
278,10.1016/j.dyepig.2013.05.032
279,10.1016/j.dyepig.2013.05.032
280,10.1016/j.orgel.2013.07.007
281,10.1016/j.orgel.2013.07.007
282,10.1016/j.orgel.2013.07.007
283,10.1016/j.synthmet.2015.02.016
284,10.1016/j.orgel.2013.07.008
285,10.1016/j.orgel.2013.07.008
286,10.1016/j.dyepig.2012.02.011
287,10.1039/c1jm14024h
288,10.1039/c1jm14024h
289,10.1039/b918282a
290,10.1039/b918282a
291,10.1039/b918282a
292,10.1039/b918282a
293,10.1039/b918282a
294,10.1039/b918282a
295,10.1039/c2jm13961h
296,10.1039/c2jm13961h
297,10.1039/c2jm13961h
298,10.1039/c2jm13961h
299,10.1039/c2jm13961h
300,10.1039/c2jm13961h
301,10.1039/c2jm13961h
302,10.1039/c2jm13961h
303,10.1039/c2jm13961h
304,10.1039/c2jm13961h
305,10.1039/c2jm13961h
306,10.1039/c2jm13961h
307,10.1016/j.dyepig.2013.10.005
308,10.1021/cm400800h
309,10.1021/cm400800h
310,10.1021/cm400800h
311,10.1016/j.dyepig.2014.10.016
312,10.1021/cm400800h
313,10.1016/j.jpowsour.2013.05.157
314,10.1016/j.jpowsour.2013.05.157
315,10.1016/j.jpowsour.2013.05.157
316,10.1016/j.jpowsour.2013.05.157
317,10.1016/j.jpowsour.2013.05.157
318,10.1016/j.dyepig.2013.09.039
319,10.1016/j.dyepig.2013.09.039
320,10.1039/c2jm35556f
321,10.1039/c2jm35556f
322,10.1039/c2jm35556f
323,10.1039/c2jm35556f
324,10.1039/c2jm35556f
325,10.1039/c2jm35556f
326,10.1039/c2jm35556f
327,10.1039/c2jm30254c
328,10.1039/c2jm30254c
329,10.1039/c2jm30254c
330,10.1039/c2ra20819a
331,10.1039/c2ra20819a
332,10.1039/c2ra20819a
333,10.1016/j.tet.2014.03.086
334,10.1016/j.tet.2014.03.086
335,10.1016/j.dyepig.2012.04.002
336,10.1016/j.dyepig.2012.04.002
337,10.1016/j.dyepig.2014.10.016
338,10.1016/j.dyepig.2012.04.002
339,10.1016/j.dyepig.2012.04.002
340,10.1039/c7ta01744h
341,10.1002/chem.201304897
342,10.1002/chem.201304897
343,10.1002/chem.201304897
344,10.1002/chem.201304897
345,10.1002/chem.201304897
346,10.1016/j.dyepig.2012.11.010
347,10.1016/j.dyepig.2012.11.010
348,10.1016/j.dyepig.2012.11.010
349,10.1016/j.dyepig.2012.11.010
350,10.1039/c2jm34682f
351,10.1039/c2jm34682f
352,10.1039/c2jm34682f
353,10.1039/c2jm34682f
354,10.1039/c2jm34682f
355,10.1039/c2jm34682f
356,10.1021/jo201057b
357,10.1021/ol2000167
358,10.1016/j.dyepig.2015.05.019
359,10.1021/ol2023517
360,10.1021/ol2023517
361,10.1021/ol2023517
362,10.1021/ol2023517
363,10.1021/ol2023517
364,10.1021/ol2023517
365,10.1021/ol2023517
366,10.1021/ol2023517
367,10.1021/ol2023517
368,10.1021/am3014407
369,10.1021/am3014407
370,10.1021/am3014407
371,10.1021/am3014407
372,10.1016/j.dyepig.2012.03.028
373,10.1016/j.jpowsour.2011.10.062
374,10.1016/j.tet.2014.03.086
375,10.1016/j.tet.2014.03.086
376,10.1016/j.tet.2014.03.086
377,10.1016/j.tet.2014.03.086
378,10.1016/j.tet.2014.03.086
379,10.1016/j.tet.2014.03.086
380,10.1016/j.tet.2014.03.086
381,10.1016/j.dyepig.2012.02.011
382,10.1039/c4ta02639j
383,10.1039/c4ta02639j
384,10.1039/c4ta02639j
385,10.1039/c4ta02639j
386,10.1039/c4ta02639j
387,10.1039/c4ta02639j
388,10.1039/c4ta02639j
389,10.1039/c4ta02639j
390,10.1039/c4ta02639j
391,10.1039/c4ta02639j
392,10.1039/c4ta02639j
393,10.1039/c4ta02639j
394,10.1039/c4ta02639j
395,10.1039/c4ta02639j
396,10.1039/c4ta02639j
397,10.1039/c4ta02639j
398,10.1039/c4ta02639j
399,10.1039/c4ta02639j
400,10.1039/c4ta02639j
401,10.1039/c4ta02639j
402,10.1039/c4ta02639j
403,10.1039/c4ta02639j
404,10.1039/c3ra22249g
405,10.1039/c3ra22249g
406,10.1016/j.synthmet.2014.06.009
407,10.1016/j.synthmet.2014.06.009
408,10.1016/j.synthmet.2014.06.009
409,10.1016/j.synthmet.2014.06.009
410,10.1039/c4ra01858c
411,10.1016/j.dyepig.2012.01.011
412,10.1016/j.synthmet.2016.01.025
413,10.1016/j.dyepig.2013.08.005
414,10.1016/j.dyepig.2013.08.005
415,10.1016/j.dyepig.2014.10.016
416,10.1016/j.dyepig.2014.10.016
417,10.1016/j.dyepig.2014.10.016
418,10.1002/cssc.201403016
419,10.1002/cssc.201403016
420,10.1002/cssc.201403016
421,10.1002/cssc.201403016
422,10.1002/cssc.201403016
423,10.1002/cssc.201403016
424,10.1002/cssc.201403016
425,10.1002/cssc.201403016
426,10.1002/cssc.201403016
427,10.1002/cssc.201403016
428,10.1002/cssc.201403016
429,10.1002/cssc.201403016
430,10.1002/cssc.201403016
431,10.1002/cssc.201403016
432,10.1002/cssc.201403016
433,10.1016/j.dyepig.2012.01.011
434,10.1016/j.synthmet.2015.02.016
435,10.1016/j.dyepig.2013.10.005
436,10.1016/j.dyepig.2013.10.005
437,10.1039/b901238a
438,10.1016/j.dyepig.2013.08.005
439,10.1039/c4ra09300c
440,10.1039/c4ra09300c
441,10.1039/c4ra09300c
442,10.1039/c4ra09300c
443,10.1039/c4ra09300c
444,10.1039/c4ra09300c
445,10.1039/c4ra09300c
446,10.1039/c4ra09300c
447,10.1039/c4ra09300c
448,10.1039/c4ra09300c
449,10.1039/c4ra09300c
450,10.1016/j.dyepig.2013.12.022
451,10.1016/j.dyepig.2013.12.022
452,10.1016/j.dyepig.2013.12.022
453,10.1016/j.dyepig.2013.12.022
454,10.1016/j.dyepig.2009.06.014
455,10.1016/j.dyepig.2009.06.014
456,10.1002/cssc.201402160
457,10.1002/cssc.201402160
458,10.1016/j.synthmet.2016.01.025
459,10.1016/j.dyepig.2012.01.011
460,10.1002/ajoc.201402073
461,10.1002/cssc.201402160
462,10.1002/cssc.201402160
463,10.1002/cssc.201402160
464,10.1002/cssc.201402160
465,10.1002/cssc.201402160
466,10.1002/cssc.201402160
467,10.1021/cm8003276
468,10.1002/cssc.201402160
469,10.1002/cssc.201402160
470,10.1002/cssc.201402160
471,10.1002/cssc.201402160
472,10.1002/cssc.201402160
473,10.1002/cssc.201402160
474,10.1002/cssc.201402160
475,10.1007/s13233-012-0017-2
476,10.1007/s13233-012-0017-2
477,10.1007/s13233-012-0017-2
478,10.1039/c1ee02540f
479,10.1039/c1ee02540f
480,10.1039/c1ee02540f
481,10.1039/c1ee02540f
482,10.1039/c1ee02540f
483,10.1039/c1ee02540f
484,10.1039/c1ee02540f
485,10.1039/c1ee02540f
486,10.3390/ijms11010329
487,10.3390/ijms11010329
488,10.3390/ijms11010329
489,10.1016/j.dyepig.2012.01.011
490,10.1016/j.tet.2016.12.019
491,10.1016/j.tet.2016.12.019
492,10.1016/j.tet.2016.12.019
493,10.1016/j.tet.2016.12.019
494,10.1016/j.dyepig.2016.12.025
495,10.1002/ajoc.201402073
496,10.1002/ajoc.201402073
497,10.1039/c5nj02967h
498,10.1039/c5nj02967h
499,10.1039/c5nj02967h
500,10.1039/c6ra06220b
501,10.1039/c6ra06220b
502,10.1039/c6ra06220b
